Operating Revenue (In Thousands of Dollars $000) (All U.S. Carriers - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2000,1,23262183,1639679,2690229,2240370,370524,30202987
2000,2,25573067,1626743,3419032,2432840,390007,33441689
2000,3,25313087,1776933,3796968,2801208,370491,34058686
2000,4,24751473,1761932,3113734,2545414,372305,32544858
2000,TOTAL,98899811,6805287,13019963,10019832,1503327,130248220
2001,1,23620312,1848448,2913460,2319491,409925,31111636
2001,2,23987256,1695829,3461580,2313437,343148,31801250
2001,3,20950846,1607118,3354092,2337637,175204,28424897
2001,4,17961577,1382343,2355216,1822516,367535,23889187
2001,TOTAL,86519991,6533737,12084349,8793081,1295812,115226970
2002,1,18933402,1570487,2234540,1990620,363648,25092698
2002,2,20577509,1491241,2945816,2254430,332809,27601805
2002,3,19991294,1524572,3224111,2511105,349376,27600459
2002,4,19785273,1498818,2670009,2488801,386765,26829665
2002,TOTAL,79287478,6085118,11074476,9244957,1432599,107124627
2003,1,20692159,1685703,2542765,2244552,494873,27660051
2003,2,22066941,1549992,2971953,1972968,420780,28982633
2003,3,23166224,1587724,3291695,2319427,416950,30782019
2003,4,22944772,1577789,2920730,2439233,460788,30343311
2003,TOTAL,88870096,6401207,11727142,8976179,1793391,117768014
2004,1,23886067,1913157,2856520,2457368,520600,31633711
2004,2,25861558,1760412,3574109,2643537,458638,34298255
2004,3,25701945,1820052,3857882,2857825,483372,34721076
2004,4,25452940,1870593,3346180,2809887,527642,34007242
2004,TOTAL,100902510,7364215,13634690,10768617,1990252,134660284
2005,1,25688272,2228071,3237584,2809042,718114,34681084
2005,2,28418255,2094849,4081050,3139866,668959,38402979
2005,3,29046508,2150520,4520600,3381518,707787,39806934
2005,4,28705027,2145615,3725338,3287353,790074,38653407
2005,TOTAL,111858063,8619055,15564572,12617779,2884934,151544403
2006,1,28396127,2579082,3537831,3141367,731363,38385770
2006,2,31743405,2577504,4838065,3412294,652246,43223514
2006,3,31076705,2564685,5200377,3699996,737731,43279494
2006,4,29690689,2579610,4175807,3430858,766061,40643024
2006,TOTAL,120906925,10300881,17752080,13684515,2887401,165531803
2007,1,28814565,3051828,4096981,3205345,776734,39945453
2007,2,32017353,2895956,5516584,3486202,772220,44688315
2007,3,32291692,2895966,6032640,3917460,817438,45955196
2007,4,31379368,2960088,5066114,3737421,964460,44107452
2007,TOTAL,124502978,11803838,20712320,14346428,3330852,174696416
2008,1,31408302,3551521,4766360,3608157,938354,44272694
2008,2,34244714,3391669,6386436,4014454,998592,49035865
2008,3,34060087,3469619,7144878,4329271,1034661,50038515
2008,4,30015228,3054996,5157221,3542951,969864,42740259
2008,TOTAL,129728330,13467805,23454895,15494832,3941471,186087333
2009,1,26183386,3078168,3790054,2890038,775007,36716652
2009,2,27369441,2583669,4858504,2699253,699454,38210321
2009,3,28216303,2677662,5531003,3091313,761009,40277291
2009,4,27911887,2981615,4702400,3233782,1017249,39846934
2009,TOTAL,109681017,11321114,18881961,11914386,3252719,155051198
2010,1,27244170,3414402,4337337,3342458,1022077,39360445
2010,2,30624878,3274351,5862018,3995598,1091488,44848332
2010,3,31131870,3312293,6559366,4387486,1086282,46477297
2010,4,30072585,3373248,5213740,4138589,1193161,43991322
2010,TOTAL,119073502,13374293,21972460,15864132,4393008,174677395
2011,1,30534144,3917014,4507288,3935343,994669,43888457
2011,2,34663890,3721697,6372570,4261506,1115192,50134855
2011,3,34676558,3838892,6894565,4922165,1194701,51526880
